Iteration,Squared_errorServiceRate,SquaredErrorServiceLoss,EstimateServiceRate, EstimateServiceLoss,ActualServiceRate, ActualServiceLoss, Queue
0,0.06354185512832751,1.0697103792537475,1,0,1.252075098191645,1.0342680403327502,n1
1,0.006539197432064584,0.5479888521320119,1.3329404024454756,1.7745307316336234,1.252075098191645,1.0342680403327502,n1
2,0.0019462966827474054,0.37068143902917505,1.2961919507850408,1.6431041751253355,1.252075098191645,1.0342680403327502,n1
3,0.0006776777374273413,0.3237255428835707,1.2781073423789475,1.6032368820838347,1.252075098191645,1.0342680403327502,n1
4,0.00011167467925200523,0.3152730881302134,1.2626427222979428,1.5957598818854244,1.252075098191645,1.0342680403327502,n1
5,4.7472728253651945e-05,0.450935713735031,1.2589651437831961,1.705785511241014,1.252075098191645,1.0342680403327502,n1
6,6.52492696088397e-07,0.3440363940784557,1.2512673279915953,1.6208141971511678,1.252075098191645,1.0342680403327502,n1
7,5.212108755777946e-09,0.568568283508804,1.2520029032558408,1.78830271029747,1.252075098191645,1.0342680403327502,n1
8,7.223286236473223e-05,0.37236500531298616,1.2435761063476243,1.644485219141235,1.252075098191645,1.0342680403327502,n1
9,7.535990061417172e-05,0.32824845974575495,1.2433940901502842,1.6071977565683064,1.252075098191645,1.0342680403327502,n1
10,0.00011451970979624228,0.6445026639684548,1.2413737099734632,1.8370772729456137,1.252075098191645,1.0342680403327502,n1
0,209.02477449733792,0.9501500322210684,1,0,15.45768911331745,0.974756396347861,n2
1,52.43649274429001,0.028399446810743963,8.216384483329149,1.1432777505162393,15.45768911331745,0.974756396347861,n2
2,0.8949829751821049,0.056289728125283364,14.511653714834864,0.73750183237641,15.45768911331745,0.974756396347861,n2
3,6.668702545908396,0.001962656548233771,12.87530599962026,0.9304545166108367,15.45768911331745,0.974756396347861,n2
4,1.2440612358183287,0.0008147163538898013,14.342314182714144,0.9462131597778818,15.45768911331745,0.974756396347861,n2
5,0.4308856358610701,0.000784685339873749,14.801270317226821,0.9467441608091942,15.45768911331745,0.974756396347861,n2
6,0.3010495112573205,0.0018979500733448556,14.909009323952723,1.018321865166007,15.45768911331745,0.974756396347861,n2
7,0.38643345213143576,0.0018201404458786266,14.836051395565836,0.932093292313126,15.45768911331745,0.974756396347861,n2
8,0.05591823132577573,0.0017268223318539536,15.22121875296382,1.0163114481689568,15.45768911331745,0.974756396347861,n2
9,0.0020796908901982965,0.0005404713530271424,15.412085485279778,0.9515083565804496,15.45768911331745,0.974756396347861,n2
10,0.3273997238706417,9.010438788787384e-05,14.885500574572884,0.9652640632369829,15.45768911331745,0.974756396347861,n2
0,228.01029852138018,1.1054879784473264,1,0,16.100009884810678,1.0514218841394383,n3
1,120.90468433324824,0.15467489546021185,5.104343268672836,1.4447091779339516,16.100009884810678,1.0514218841394383,n3
2,0.3540677365254599,0.6795202486870429,16.695045796773528,0.22709170230266795,16.100009884810678,1.0514218841394383,n3
3,83.39299082465288,0.10891824397373638,6.968033602282735,1.3814495253662549,16.100009884810678,1.0514218841394383,n3
4,27.481352884497678,0.3294018417971555,21.342275891462542,0.477486485512419,16.100009884810678,1.0514218841394383,n3
5,42.115982300864566,0.05969608098505095,9.610327126704195,1.2957496987350159,16.100009884810678,1.0514218841394383,n3
6,0.4770381832155796,0.2518584157063721,16.790689393132432,0.5495669093644819,16.100009884810678,1.0514218841394383,n3
7,35.61158093471147,0.04110945685660833,10.13246592311995,1.254176555741866,16.100009884810678,1.0514218841394383,n3
8,2.832909123742778,0.15904583983465698,17.783134694128982,0.6526163678352415,16.100009884810678,1.0514218841394383,n3
9,9.85445755944521,0.02812677786582044,12.960828851572039,1.2191322829399314,16.100009884810678,1.0514218841394383,n3
10,12.465866573362927,0.10074477265678786,19.630713295373923,0.7340187136184306,16.100009884810678,1.0514218841394383,n3
0,161.67042880197477,0.7974412611792782,1,0,13.714968690562111,0.8929956669431707,n4
1,68.65813511716647,0.30563682297326283,5.428948227326067,1.445839969593802,13.714968690562111,0.8929956669431707,n4
2,21.751111429747823,0.4078480806507072,18.378777373360734,0.2543658205918533,13.714968690562111,0.8929956669431707,n4
3,30.83928988911789,0.2353473594636053,8.161655275211066,1.3781217943199646,13.714968690562111,0.8929956669431707,n4
4,48.32430938703984,0.17104364574373654,20.666537534142662,0.47942143449664054,13.714968690562111,0.8929956669431707,n4
5,16.762891087802082,0.1622842776491114,9.620717710492364,1.2958408948522417,13.714968690562111,0.8929956669431707,n4
6,25.773705827793798,0.06341352525347367,18.79174974038037,0.6411752443133258,13.714968690562111,0.8929956669431707,n4
7,7.24207272835713,0.10953833946386757,11.023858746996607,1.2239614347558971,13.714968690562111,0.8929956669431707,n4
8,18.14611974408688,0.012647062388032246,17.97479494806216,0.780536508187504,13.714968690562111,0.8929956669431707,n4
9,2.2552982165395123,0.0698359554920346,12.213203656830299,1.1572606012269961,13.714968690562111,0.8929956669431707,n4
10,4.486359721902651,0.00820736615999601,15.833071549703435,0.8024011518774339,13.714968690562111,0.8929956669431707,n4
0,59.51088435589326,1.0516505462204915,1,0,8.714329806009934,1.0255001444273382,n6
1,2.473227964030504,0.01480472619412349,7.141679824599415,1.1471748180209973,8.714329806009934,1.0255001444273382,n6
2,0.1431839288194737,0.0034533926994529296,9.092726329275507,1.0842657185286173,8.714329806009934,1.0255001444273382,n6
3,0.018181053875726046,0.0009608875072178348,8.579492667669912,0.9945019588801511,8.714329806009934,1.0255001444273382,n6
4,0.010471482496453863,0.008317157794076529,8.816660067890053,1.1166985972326162,8.714329806009934,1.0255001444273382,n6
