Iteration,Squared_error,LogLoss,Estimate
0,2.6905648268384e-09,-1829.7118262119654,0.06831676890824184
1,5.548492084162566e-07,-459.18838018557693,0.06900978026319424
2,4.5462361606597573e-07,-459.31636991798075,0.06893915607957293
3,1.3352456169595818e-07,-459.87762858488253,0.06863030838153611
4,5.517148861128273e-07,-459.1921965233138,0.06900767337832772
5,3.043682799591123e-08,-460.22589803946306,0.068439359790763
6,1.804965767567023e-07,-459.76941649163984,0.06868974714043288
7,8.009216445270139e-08,-460.02780649177106,0.06854790384431696
8,7.810752455635078e-08,-460.0342407644622,0.06854437548788152
9,1.702313130615851e-06,-462.9571623262075,0.06696017102886503
10,3.049436958756576e-06,-463.7841439919145,0.06651863453948825
11,8.721714260136717e-07,-462.2668209843998,0.06733099706703725
12,1.0292984923488104e-09,-460.60370789013854,0.06823281557134112
13,1.5942784353992846e-08,-460.31395733930725,0.0683911629926218
14,6.873524357681227e-08,-461.02593913795465,0.06800272418232885
15,6.597236948291592e-08,-460.0755098317861,0.0685217491235893
16,6.591799046066689e-08,-460.0757029804853,0.0685216432445775
17,1.449156641344503e-07,-459.8498236779708,0.06864557615423608
18,1.4238849431113742e-07,-459.85589468420073,0.0686422422534334
19,2.189384368785864e-08,-460.8161817515004,0.06811693256931
20,2.863158466081791e-08,-460.85517046116917,0.06809568955197373
21,5.2357969395522724e-09,-460.6775140494924,0.06819253944654174
22,9.487160705091676e-12,-460.5505875617296,0.06826181812997774
23,2.0567742551491663e-07,-459.71725830058614,0.06871841498470668
24,4.126597192733182e-08,-460.17352917563244,0.06846803852994379
25,3.4398338022278526e-09,-460.437599205737,0.06832354834981945
26,8.045068963035822e-08,-460.0266527110638,0.06854853656122882
27,1.184758311061681e-07,-461.1768129206952,0.06792069507058425
28,1.4990066837063128e-07,-461.25591342555765,0.06787772817666465
29,2.9854335745166266e-07,-459.5484320530628,0.0688112894662907
30,2.9428125645571126e-07,-459.55554273250436,0.06880737521745257
31,3.748573368698422e-07,-459.4288418915617,0.0688771541941234
32,2.947190890705056e-07,-459.55480989258945,0.06880777861696323
33,3.2625034230906244e-07,-459.5034038228606,0.06883608153605528
34,2.158724375132254e-07,-459.6970615352477,0.06872951899935834
35,3.1845518583058995e-10,-460.51227509416265,0.06828274356617951
36,1.707277030697637e-08,-460.3059191463314,0.06839556106495828
37,2.5538074907302456e-08,-460.2526676127956,0.06842470462038364
38,1.156542320505143e-07,-461.16922444921994,0.06792481850980243
39,3.832203181080685e-07,-461.6836582958895,0.06764585034085532
40,1.9423670570980416e-08,-460.8004068330645,0.06812552942420033
41,1.5509326158569164e-07,-461.26815799245736,0.06787107943524445
42,2.239137118458122e-07,-459.6814679177189,0.06873809346883292
43,3.380387655287055e-07,-459.48483258449727,0.06884630926602864
44,4.658294757826133e-07,-459.3013953108891,0.06894741526847961
45,5.24801638400649e-07,-459.22542764903574,0.06898933019533574
46,4.540813296543044e-07,-459.31709928750894,0.06893875382378858
47,4.514875482809201e-07,-459.32059399415374,0.06893682648496204
48,2.2412565657182776e-07,-461.4148460410388,0.06779147914044721
49,6.434647952589946e-07,-459.0846687898278,0.06906706082754906
50,1.449794429924606e-07,-459.8496711538625,0.06864565991512947
51,1.1169029578108659e-07,-459.93448437845973,0.06859909923458563
52,1.2538728052550649e-07,-459.8982288048803,0.06861899891786209
53,1.7022227598963575e-07,-459.79174507697286,0.06867747827720676
54,1.5015516460093533e-07,-459.8374041597344,0.0686523968529489
55,3.5623112220049997e-09,-460.43570564865587,0.06832458335396895
56,2.1262192773182324e-07,-459.7034477695516,0.06872600770655946
57,1.221534404281791e-08,-460.74749040673777,0.06815437520590242
