Iteration,Squared_error,LogLoss,Estimate
0,3.698883751867537e-09,-1829.4722109411964,0.06832571670257406
1,4.689120752051156e-10,-460.5053023244197,0.068286552631204
2,7.667536105390846e-07,-462.15871454351304,0.06738925357065312
3,2.156621860063818e-07,-461.39820662864423,0.06780050382412166
4,1.1847668525534047e-07,-459.91625762087136,0.06860910267710925
5,5.370949914561703e-07,-459.21014414114904,0.06899776590281115
6,1.2850362127563116e-07,-459.8902623271412,0.06862337227104033
7,2.3060097469090026e-07,-459.66871347282984,0.06874510755646963
8,1.5708296523528207e-07,-459.8213126501431,0.0686612351874446
9,8.53154723936223e-09,-460.7141942053266,0.06817253187841914
10,8.127081985709167e-11,-460.5284410576835,0.06827391328645892
11,2.304152515911772e-09,-460.63287414187886,0.06821689666478523
12,1.958981951461794e-09,-460.62601898902074,0.06822063786540364
13,4.2738294364802634e-08,-460.16697127738706,0.0684716306756086
14,2.3541042904748954e-08,-460.2643150105154,0.06841832915942975
15,2.3399902960760524e-08,-460.82536589950394,0.06811192798524157
16,1.5359367158963227e-09,-460.6167307967485,0.06822570722495348
17,1.885952041060946e-10,-460.51980342311145,0.06827863125037548
18,1.1163908913308389e-07,-459.93462399287455,0.06859902261524364
19,6.946866634981239e-07,-459.02800469375825,0.06909837690556137
20,1.0243014493936585e-08,-460.35976287636026,0.06836610603228763
21,4.001121488035041e-06,-464.2623988613775,0.06626461790110695
22,1.988854565336571e-08,-460.2869793966202,0.06840592500856398
23,1.8245114081626466e-08,-460.79252759545835,0.068129823777411
24,8.955310150822056e-11,-460.52762043754393,0.06827436150351632
25,7.331337023362959e-08,-460.0501307806411,0.06853566267179644
26,2.416857679347e-08,-460.8299396916554,0.0681094357924236
27,4.05582650019094e-06,-464.2881088758319,0.06625098998837806
28,1.5309082255407895e-07,-461.2634605811452,0.06787363003017946
29,5.6019672874456575e-08,-460.112303047487,0.06850158300767425
30,3.383697834167936e-07,-461.614655553843,0.06768320264284444
31,2.707610865078537e-07,-461.5014059976063,0.0677445511707342
32,4.965138241230688e-06,-464.69319387792007,0.06603663923772543
33,1.976019329793963e-06,-463.1458165342113,0.06685918870672707
34,1.31863901188916e-06,-462.66552486114375,0.06711657817095923
35,6.282884060747416e-07,-462.00485626518287,0.06747225179628967
36,1.7167055616404903e-07,-461.30594238313535,0.06785056679658183
37,2.42201749406158e-07,-461.44936999953154,0.06777275828414242
38,4.1936447994641765e-08,-460.9204912258788,0.06806011434786183
39,1.6549612095819421e-09,-460.4704781428424,0.06830557946792194
40,2.306227304801389e-06,-463.35710517201505,0.06674627147087578
41,3.7312088317580573e-07,-461.6684851591325,0.06765406203714007
42,4.577285047993053e-08,-460.93731939446747,0.06805095234796701
43,1.0589307423249192e-07,-461.14223505120304,0.06793948609291839
44,3.277588783003013e-08,-460.2138814374621,0.06844593937539734
45,8.619199909218079e-07,-462.2566018811737,0.06733650179132218
46,2.1314906536912056e-08,-460.81256774468034,0.06811890199825098
47,2.336467395062373e-07,-461.43319607267966,0.06778152806457771
48,1.6532808188182031e-06,-462.92183373267596,0.06697909857279358
49,9.569752947275318e-08,-459.9797752620675,0.06857424842636553
50,1.6101536410557176e-07,-459.81233726741755,0.06866616545136019
51,1.7565698760028982e-07,-459.7798521799216,0.06868401278148976
52,6.442478666146895e-08,-460.0810382853473,0.06851871863614171
53,2.0789285594881504e-07,-461.382644035253,0.06780894556299417
54,3.067968594658879e-09,-460.6464119491133,0.06820950900726586
55,8.116091772304005e-07,-462.20555730929823,0.06736400470968307
