Iteration,LogLikelihood
0,-12187.802787353312
1,-4632.022907236912
2,-4600.150824955178
3,-4519.258691503932
4,-4532.82453203315
5,-4433.5632422313
6,-4370.550590535373
7,-4309.584545273931
8,-4367.427452511353
9,-4304.752644076591
10,-4353.53012974722
11,-4353.965351567262
12,-4330.0199886876435
13,-4377.205258360415
14,-4296.280653687479
15,-4360.90119713877
16,-4368.337175084647
17,-4331.042611313359
18,-4316.171018872191
19,-4328.70541148434
20,-4321.153790582084
21,-4284.8187515283125
22,-4322.0635787618185
23,-4277.131097302508
24,-4257.764385004786
25,-4221.06811261979
26,-4284.182072028911
27,-4345.9379649867515
28,-4327.500144805057
29,-4278.875346237202
30,-4320.464952354057
31,-4298.55972538964
32,-4276.17733083884
33,-4320.9215443757885
34,-4253.75625780898
35,-4353.294471763504
36,-4365.516792878704
37,-4185.55546676886
38,-4181.751278725806
39,-4202.134383443875
40,-4269.769984230696
41,-4339.458694978375
42,-4220.571393348431
43,-4290.330274805172
44,-4287.522509554644
45,-4204.879619341088
46,-4276.533862597469
47,-4334.622680921937
48,-4250.694313323534
49,-4250.1321626357485
50,-4226.032528366758
51,-4234.476892053929
52,-4188.65080388267
53,-4200.811585135013
54,-4172.327570238691
55,-4251.806610467467
56,-4314.307290442446
57,-4170.040087341353
58,-4284.157867051956
59,-4292.440656216279
60,-4234.516232225186
61,-4211.448847881639
62,-4277.165317653887
63,-4205.240955997096
64,-4275.492474634222
65,-4269.352866110933
66,-4274.088708007423
67,-4256.675431426377
68,-4251.437549482474
69,-4247.25802079606
70,-4304.826994249262
71,-4297.125217635629
72,-4268.954325036929
73,-4212.188884596808
74,-4161.022222068884
75,-4202.264304192896
76,-4250.247582229369
77,-4231.326675066814
78,-4214.536305416745
79,-4242.876510853858
80,-4288.959992560671
81,-4310.946051928661
82,-4310.732948966992
83,-4268.078128775421
84,-4282.6384135852895
85,-4258.222583857314
86,-4281.832370188152
87,-4429.208775989698
88,-4356.53613631404
89,-4332.496690075209
90,-4280.358706749039
91,-4336.226243123502
92,-4328.118198515686
93,-4292.573775636626
94,-4297.208811533277
95,-4243.660930475806
96,-4263.298305185099
97,-4314.427530434168
98,-4360.18341180276
99,-4280.706622642631
100,-4365.504658537038
