Iteration,LogLikelihood
0,-13103.162544452616
1,-4862.540769468091
2,-4866.040502584697
3,-4909.808652089881
4,-4896.731024308733
5,-4911.599112164544
6,-4920.60324752558
7,-4964.846152435199
8,-4941.0886370082335
9,-4937.870453434724
10,-4946.300168625743
11,-4946.498842396992
12,-4976.888061212267
13,-4950.377823288033
14,-4956.971343120518
15,-4921.734684353542
16,-4949.4871282827435
17,-4948.177067971674
18,-4950.136005595151
19,-4951.125968969176
20,-4915.036624475797
21,-4908.442660621037
22,-4913.142204053672
23,-4940.134786312995
24,-4911.048951673212
25,-4949.548804090654
26,-4921.40961414567
27,-4928.6646121783315
28,-4905.50578409378
29,-4955.7584736973495
30,-4946.680069560866
31,-4921.417174075463
32,-4932.3232739948635
33,-4956.369256308102
34,-4936.675203527991
35,-4935.119210439847
36,-4956.179659941649
37,-4931.7602947554615
38,-4975.634851010979
39,-4972.075323003771
40,-4944.760169744598
41,-4969.77583190853
42,-4941.935074437325
43,-4957.768189217548
44,-4950.2977575350415
45,-4961.41299522236
46,-4965.570913235762
47,-4944.059100815563
48,-4922.708117139096
49,-4953.443352336803
50,-4928.37219358849
51,-4924.776303671775
52,-4940.04082698548
53,-4942.444325007265
54,-4939.883040733421
55,-4895.579931198644
56,-4926.731257286566
57,-4932.898900195147
58,-4964.012920749572
59,-4917.923594069398
60,-4960.428003022451
61,-4942.916691063054
62,-4942.432840008555
63,-4927.638426183507
64,-4952.709126916385
65,-4955.198890030274
66,-4973.135546928219
67,-4946.995620861908
68,-4984.469865546063
69,-4965.986334383835
70,-4966.12640025511
71,-4950.749318107233
72,-4945.250764659724
73,-4947.077105711407
74,-4930.329478981963
75,-4937.783429277144
76,-4987.725287307019
77,-4922.209783901337
78,-4946.477439205495
79,-4974.3675431694555
80,-4986.358205115065
81,-4957.415610645685
82,-4934.606169940407
83,-4964.6147511235795
84,-4946.498545054815
85,-4962.323947401334
86,-4948.599545506373
87,-4984.088759559329
88,-4938.894869092174
89,-4943.216225670991
90,-4976.201869976788
91,-4969.044196008945
92,-4954.819305855
93,-4923.369156635584
94,-4946.875626747488
95,-4945.835930642932
96,-4971.196064422013
97,-4954.41301972423
98,-4906.132652165408
99,-4922.565560367962
100,-4903.111496048161
101,-4922.83130114511
102,-4946.641767201712
103,-4948.921907511964
104,-4912.7356683933485
105,-4942.48123055481
106,-4922.11898389624
107,-4927.104604101833
108,-4942.561702224579
109,-4904.201578602647
110,-4912.9368218999225
111,-4932.560506738262
112,-4971.24743765211
113,-4946.365233962762
114,-4951.2657191431
115,-4950.084384509136
116,-4943.156617194323
117,-4967.7427351388305
118,-4962.660691393596
119,-4986.044217508856
120,-4963.368119803017
121,-4968.647782692422
122,-4983.957288428397
123,-4980.589280237557
124,-4960.780406322917
125,-4906.900511683777
126,-4923.562147828457
127,-4901.560572302179
128,-4933.591398514926
129,-4957.362389255954
130,-4981.837379628287
131,-5015.061094710285
132,-4945.010696899105
133,-4903.45299803015
134,-4911.740096025475
135,-4980.306543127901
136,-4953.724670806434
137,-4950.026338935661
138,-4922.489647437469
139,-4935.437635124589
140,-4926.698247819745
141,-4944.536984154947
142,-4928.716016829603
143,-4970.329528164811
144,-4988.430840713874
145,-4984.532000001701
146,-4945.65258327416
147,-4940.057978669194
148,-4961.822471573282
149,-4905.787329930422
150,-5001.47138007673
151,-4946.26953123614
152,-4955.353280479139
153,-4950.702225562751
154,-4952.334668616357
155,-4934.6237594070235
156,-4918.068308635045
157,-4935.102085223095
158,-4973.280958759343
159,-5015.941168426995
160,-4972.385998315093
161,-4952.075937130251
162,-4982.525652135275
163,-4938.247283425854
164,-4932.2978025025395
165,-4966.264767886487
166,-4923.586797693877
167,-4996.813677711401
168,-4917.510960676517
169,-4936.429178056617
170,-4976.896178861857
171,-4923.140794873742
172,-4938.953769755486
173,-4976.654162249638
174,-4956.38180143417
175,-4942.099367998544
176,-4974.6704529680765
177,-4937.555350945647
178,-4945.0669751165315
179,-4938.194399133503
180,-4964.001647227804
181,-4961.718642877664
182,-4970.735832109409
183,-4973.062050277348
184,-4928.963534121024
185,-4950.4849652920075
186,-4938.727641937405
187,-4958.767175840325
188,-4945.983539959837
189,-4913.159305578969
190,-4919.640882642054
191,-4953.1825786163345
192,-4978.581233892858
193,-4988.32994987057
194,-4933.94172907424
195,-4934.635408515195
196,-4997.869013852625
197,-4950.3586514177605
198,-4950.357488309264
199,-4931.301229489722
200,-4949.552451054016
201,-4939.542584633618
202,-4966.922319183939
203,-4981.67506658822
204,-4961.856015238878
205,-4944.440663532423
206,-4939.467098710897
207,-4954.926974825941
208,-4941.525188210116
209,-4928.522226380113
210,-4941.270193004972
211,-4950.145753804746
212,-4879.736933769454
213,-4911.877155120198
214,-4939.34208942619
215,-4964.077375774806
216,-4958.911975202158
217,-4941.051552376392
218,-4966.686700084699
219,-4932.022207880481
220,-4972.886933006307
221,-4942.844667754054
222,-4919.544292344455
223,-4932.242210849128
224,-4961.147849729681
225,-4943.890772846409
226,-4955.2566077604915
227,-4930.818397810536
228,-4935.551199020612
229,-4924.537691468898
230,-4947.9628754824225
231,-4956.720651544848
232,-4926.098049645046
233,-4925.836226254983
234,-4978.60924074019
235,-4959.76052869368
236,-4949.320635544432
237,-4944.994959201576
238,-4939.860210472978
239,-4940.232800450461
240,-4936.484479651365
241,-4896.558454234429
242,-4914.785568042775
243,-4915.002908525483
244,-4933.561014262992
245,-4952.3999153797395
246,-4958.551056192218
247,-4943.509820974051
248,-4989.5789096073695
249,-4993.171830574966
250,-4929.99807287225
