Iteration,LogLikelihood
0,-13113.40459465262
1,-5144.402221355174
2,-4960.4568724857045
3,-4937.977304761604
4,-4917.611888204279
5,-4992.60424856143
6,-4991.336085449171
7,-5036.652832563504
8,-4970.155019169786
9,-5035.26865674517
10,-5060.988204315836
11,-5063.799195920255
12,-5048.602154603341
13,-5043.444900643198
14,-5046.5309234783035
15,-4989.370475023024
16,-5101.127568988928
17,-5040.787899972378
18,-5005.025414877653
19,-5016.3316442672
20,-5021.118938534035
21,-5080.909855925415
22,-5148.952597733053
23,-4979.772494203543
24,-5042.88037698721
25,-4951.073664629458
26,-4930.547213889544
27,-4896.1846361652315
28,-4966.772495523022
29,-4915.200190315613
30,-4967.472544820349
31,-4982.339583030142
32,-5022.926130606826
33,-4970.00606723778
34,-4966.422346352252
35,-4978.435362989605
36,-5002.036152331113
37,-4994.212185188996
38,-5010.755216315036
39,-4969.839585530455
40,-5001.657388016627
41,-5001.032738609636
42,-4893.305189262402
43,-4964.221302953412
44,-4973.596418565867
45,-5021.519550370872
46,-5008.105946397856
47,-4932.028212325399
48,-4995.171828141851
49,-5049.934567808851
50,-5054.697128689037
51,-5003.653667627263
52,-5073.200872045363
53,-5076.0345360820775
54,-5000.0690532964745
55,-4885.562737122904
56,-4902.934970600093
57,-4908.391310888927
58,-5078.417906733598
59,-5007.139205372467
60,-5011.969563123239
61,-5003.429575379093
62,-4999.243879982521
63,-4992.63062381467
64,-5086.770976424075
65,-5025.694169862531
66,-4977.939028326613
67,-5072.531634341042
68,-4951.4949191663
69,-5051.313564995647
70,-5030.391660953041
71,-5059.269475793474
72,-5010.992009882934
73,-5041.3191386113
74,-5046.486756315845
75,-5001.438373470753
76,-4973.667919440176
77,-4897.182238093789
78,-5066.034902945563
79,-5122.899888988509
80,-5067.469862647329
81,-5096.037909105813
82,-4968.139382117124
83,-5023.2900203599875
84,-5028.5265867384505
85,-5025.456352067631
86,-5033.909141465315
87,-4866.495141855993
88,-4906.757744819577
89,-4936.067701774446
90,-4995.424098286115
91,-4982.5790712118305
92,-5015.722599857399
93,-4940.110685138013
94,-4949.879550904257
95,-5029.415938040014
96,-5042.729346502547
97,-4927.329844310554
98,-4976.639813401793
99,-4951.816441659974
100,-4922.252960513184
