Iteration,LogLikelihood
0,-15183.575218299997
1,-2396.9400175441187
2,-2375.6952519549286
3,-2304.117838085998
4,-2208.767954782895
5,-2181.851606861058
6,-2169.911724604272
7,-2258.2681056738047
8,-2188.462250730521
9,-2157.6302159364204
10,-2101.2735759159905
11,-2111.5922284721487
12,-2067.227657832691
13,-1987.1319588490899
14,-2043.467889831385
15,-1987.3812786219737
16,-2003.069839786789
17,-1998.5665759285725
18,-2024.7158041670828
19,-1980.1675123668806
20,-1895.31831277687
21,-1885.4665132339296
22,-1847.2904033130653
23,-1925.1325860011093
24,-1876.9007702738654
25,-1954.8559837046273
26,-1918.2236258122384
27,-1941.0514780094911
28,-1950.6159709004264
29,-2005.8654052328484
30,-1941.2316170632992
31,-2050.710875620209
32,-1989.5493496939928
33,-1955.2750794202302
34,-1961.794709058142
35,-1930.082802701862
36,-1982.8669944306735
37,-1932.7140338583922
38,-1978.0394638162334
39,-1994.6418863849804
40,-1983.3623812949218
41,-1969.5828552312032
42,-1984.5243626627557
43,-1962.2498321895182
44,-1932.6092132320402
45,-1870.9882993199267
46,-1906.6640291995568
47,-1966.8689413683037
48,-1903.140124200867
49,-1958.1863120987368
50,-1943.5863154287308
51,-1941.8267862579787
52,-1952.3590891729013
53,-2003.1524492448978
54,-2023.6244510193949
55,-2085.938978633158
56,-1992.1800652864995
57,-1908.8676043941628
58,-1930.6577034630923
59,-1984.303979291601
60,-1964.6992524697557
61,-1936.1621565651494
62,-1987.0403454556454
63,-1991.4895550895828
64,-1991.9429269554976
65,-1949.0312582498746
66,-1992.4503431719122
67,-1973.7428407801865
68,-1992.9465256270482
69,-1996.3235789824382
70,-2015.0329925786298
71,-1968.8686846711707
72,-1981.6299219953166
73,-1905.108937885703
74,-1970.2430416554334
75,-1900.9997773933374
76,-1924.0174565338127
77,-1993.2915703537933
78,-1996.345479662696
79,-2011.9893997666136
80,-1987.4417267794797
81,-1987.059488799462
82,-1943.1299879563219
83,-1920.6539634432932
84,-1939.0134665517007
85,-1899.1616971369176
86,-1947.0074401250897
87,-1945.2881834504592
88,-1943.227304696367
89,-1990.046467122048
90,-2005.824024739234
91,-1907.7818532702292
92,-1981.9006492217854
93,-1984.9771756515045
94,-2046.1857717451123
95,-2015.5852047450123
96,-2116.4588952066697
97,-2152.488565429114
98,-2067.9473799785023
99,-2029.3119815743075
100,-1966.3933299165753
101,-1923.0990103757583
102,-1975.179081950156
103,-2010.5325869808757
104,-1986.4997080429441
105,-1988.093748008197
106,-1913.9660127465572
107,-2036.497817134868
108,-2037.4730378662236
109,-2014.3887062409367
110,-2015.551427077903
111,-1981.1438235081787
112,-1985.7193403436172
113,-1960.9649763276161
114,-2019.3557881692386
115,-2041.6648721020938
116,-1984.027732073106
117,-1987.558916374685
118,-1942.1335770115913
119,-1872.2508203355
120,-1922.609192377363
121,-1938.9866417920869
122,-1991.7617090228568
123,-2021.4952173667398
124,-2008.2970250354758
125,-1979.995662743105
126,-2040.713990810615
127,-2081.4505454842547
128,-2044.1668671894915
129,-2005.6645903135748
130,-2024.5624820979247
131,-1967.5035713992818
132,-1981.0946078311258
133,-1976.0383978721934
134,-1999.3393979693385
135,-1988.7683833641554
136,-2014.4921624957642
137,-1994.562387770848
138,-2015.2191983467937
139,-1980.7137493736786
140,-1946.4713033157377
141,-1977.4122833725357
142,-1981.0493744433434
143,-1970.6385310125786
144,-1984.9457803016153
145,-2017.262453798944
146,-2010.7594914178235
147,-2076.0928252423305
148,-2121.542539374848
149,-2077.828238821984
150,-2084.6767699088705
151,-2010.9181786904714
152,-2067.180483706825
153,-2053.382106563304
154,-2046.261033554412
155,-1999.1082849622114
156,-1990.6292126228814
157,-1976.3579143649358
158,-2018.5326485529476
159,-1958.2907140218135
160,-1897.6127612780174
161,-1984.9607648472927
162,-2021.4535676265832
163,-1994.0777627999862
164,-2030.4373623783472
165,-2027.5116519154715
166,-2057.610449489066
167,-2042.6215062274384
168,-1972.8723433928517
169,-2051.791475282004
170,-2038.427619140893
171,-2018.2101929030775
172,-2005.3048203912813
173,-2027.2880514405904
174,-2030.3648977598423
175,-2007.0015077026283
