Iteration,LogLikelihood
0,-12166.737249853308
1,-4444.115124138462
2,-4267.972077536645
3,-4135.299561738397
4,-4113.867828500711
5,-4158.251317616624
6,-4209.674887754258
7,-4144.874686162673
8,-4069.3267643110757
9,-4155.006231463595
10,-4164.550669883778
11,-4178.7491264813225
12,-4103.509092292394
13,-4120.698519373753
14,-4178.5056324194475
15,-4112.750110762143
16,-4114.468461409223
17,-4153.2473913128815
18,-4094.6036331556033
19,-4116.879634931493
20,-4118.7554664118015
21,-4091.7890428876635
22,-4087.548989983766
23,-4114.20442403318
24,-4122.982504201587
25,-4065.749881809579
26,-3993.4850510314227
27,-3984.261658888923
28,-3989.3710963382237
29,-4024.833392491605
30,-3989.385309938868
31,-3967.9370427549648
32,-3940.397239143472
33,-3994.1575517782876
34,-3977.71174384023
35,-4005.196288471219
36,-4053.3681889533145
37,-4066.2671305838253
38,-4022.972568977928
39,-3970.67552760359
40,-3992.244183304035
41,-4093.951680029317
42,-4061.50700376244
43,-4114.873437588313
44,-4066.926001710334
45,-3998.0640034705452
46,-4023.57998613234
47,-4017.7577377971957
48,-3970.7846956037706
49,-3952.0073670211927
50,-3971.0880387282004
51,-3994.252763133926
52,-4031.0706299575536
53,-4043.12953174795
54,-3998.921208248812
55,-4015.730216741202
56,-4022.456784523345
57,-4072.2728791991317
58,-4004.597418502872
59,-3956.0298017606274
60,-4014.743423343797
61,-4013.0675519773904
62,-4009.5485399406375
63,-4028.7134574877296
64,-3986.2754683721755
65,-4046.920195055858
66,-4123.6349411273995
67,-4147.435145470571
68,-4101.703573151758
69,-4087.0507455108673
70,-4059.387978284707
71,-4082.0259557348445
72,-4079.0230113858383
73,-4104.015734076576
74,-4048.2406085286366
75,-3945.5117141365363
76,-3964.5480287781124
77,-4015.5102503998287
78,-4058.527600187814
79,-3991.501565904098
80,-4035.3434059083406
81,-3988.767475248742
82,-3994.901672863945
83,-3990.878945796575
84,-4046.68519332032
85,-4014.0406448599233
86,-4001.499186866343
87,-3994.9044337676014
88,-4030.510137496016
89,-4026.2264403108475
90,-4034.5570173138876
91,-4085.7661319654867
92,-4107.375807746082
93,-4038.420100173559
94,-4017.9000531373063
95,-4111.69715298624
96,-4052.862383869396
97,-4120.8993032324
98,-4071.3748007980057
99,-4108.94377532877
100,-4036.6208970540647
