Iteration,Squared_error,Estimate,Actual, Queue
0,37.227640259064906,1,7.101445751546506,n1
1,7.999272436429217e-05,7.110389616726857,7.101445751546506,n1
2,0.0011445612723795652,7.067614386330488,7.101445751546506,n1
3,3.6166820626689146e-05,7.0954318658952245,7.101445751546506,n1
4,1.7528605484836716e-05,7.105632469292526,7.101445751546506,n1
5,0.0011912126752275257,7.066931802551534,7.101445751546506,n1
6,0.0031311904950947996,7.157402793061357,7.101445751546506,n1
7,0.02011383529882223,7.2432690052774165,7.101445751546506,n1
8,0.0009731647613842014,7.070250162733595,7.101445751546506,n1
9,0.002008339933308668,7.146260257382325,7.101445751546506,n1
10,0.00022892925041406885,7.086315343408783,7.101445751546506,n1
11,0.0012861619402398372,7.137308851527403,7.101445751546506,n1
12,0.002273157166469863,7.149123389559204,7.101445751546506,n1
13,0.002001450109205583,7.146183320872583,7.101445751546506,n1
14,0.009419675912965062,7.004390736668525,7.101445751546506,n1
15,5.211010304792492e-06,7.099162987803848,7.101445751546506,n1
16,0.000246518356577186,7.085744848496771,7.101445751546506,n1
17,0.0003463694651290038,7.082834747674361,7.101445751546506,n1
18,0.0080680163321321,7.19126788875183,7.101445751546506,n1
19,0.0009312874046320212,7.131962753441057,7.101445751546506,n1
20,0.0002665902495746587,7.085118159881638,7.101445751546506,n1
21,1.0742778715090454e-05,7.104723369388032,7.101445751546506,n1
22,0.0006855846182930516,7.075262080713465,7.101445751546506,n1
23,0.007532535858847373,7.014655568582951,7.101445751546506,n1
24,0.009903917882477655,7.0019273216831,7.101445751546506,n1
25,0.0021746001947790163,7.148078360253065,7.101445751546506,n1
26,0.012365682440744432,7.212646841652424,7.101445751546506,n1
27,0.006883536630330767,7.184412833153194,7.101445751546506,n1
28,0.0005656218537742034,7.07766294570333,7.101445751546506,n1
29,0.0004326508470255596,7.0806454908023335,7.101445751546506,n1
30,0.00023517553324526517,7.08611031763529,7.101445751546506,n1
31,0.0034034663643812647,7.043106516340846,7.101445751546506,n1
32,0.0009027561730278294,7.13149165264845,7.101445751546506,n1
33,0.00013059325428797962,7.112873492105688,7.101445751546506,n1
34,0.011171221045403534,7.207139748752608,7.101445751546506,n1
35,0.013584637339410736,7.217998903968097,7.101445751546506,n1
36,3.5217905292301454e-06,7.103322394967412,7.101445751546506,n1
37,0.015044522054436528,7.224101864539037,7.101445751546506,n1
38,0.0023426067383992863,7.149846234378801,7.101445751546506,n1
39,0.0009508899360310852,7.070609248242287,7.101445751546506,n1
40,0.0011075651983478004,7.134725853684988,7.101445751546506,n1
41,0.0014260840977237653,7.139209280218013,7.101445751546506,n1
42,0.005993290821782423,7.024029404294892,7.101445751546506,n1
43,0.0010114387485077683,7.069642626723499,7.101445751546506,n1
44,0.00016378123636831592,7.08864804720673,7.101445751546506,n1
45,0.0046814591752698306,7.0330245620269585,7.101445751546506,n1
46,0.00033213253259202773,7.083221247915624,7.101445751546506,n1
47,0.0017707245622427072,7.059365773382981,7.101445751546506,n1
48,0.0027074771493005413,7.049412328160181,7.101445751546506,n1
49,0.032494513537233524,7.281708097967586,7.101445751546506,n1
50,0.0001250868835736264,7.112629976310593,7.101445751546506,n1
51,0.0005255778297309997,7.078520267260869,7.101445751546506,n1
52,0.03171555234837961,7.279534359684083,7.101445751546506,n1
53,0.02596763834178479,7.262590526025186,7.101445751546506,n1
54,6.944791321390273e-05,7.109779293003408,7.101445751546506,n1
55,8.278713071192765e-07,7.1005358772106115,7.101445751546506,n1
56,1.4156874432165007e-05,7.097683189330121,7.101445751546506,n1
57,0.00520914882528362,7.173620184868033,7.101445751546506,n1
58,0.00017534887343842933,7.088203815379977,7.101445751546506,n1
59,0.009254682701602266,7.197647012981075,7.101445751546506,n1
60,0.010489854978297977,6.999025758487055,7.101445751546506,n1
61,0.005727789393206969,7.177127911883054,7.101445751546506,n1
62,0.0007383615847711242,7.074272941887379,7.101445751546506,n1
63,0.0029857593553920016,7.1560878539529105,7.101445751546506,n1
64,0.0009067982948773588,7.07133265979429,7.101445751546506,n1
65,0.002498765419308496,7.151433404215025,7.101445751546506,n1
66,0.010192997815362766,7.202406128999063,7.101445751546506,n1
67,0.0001538334861876577,7.113848714345275,7.101445751546506,n1
68,0.0027559943694203926,7.1539433169131055,7.101445751546506,n1
69,0.005887794188301447,7.178177714823236,7.101445751546506,n1
70,9.444040231076653e-05,7.091727706356718,7.101445751546506,n1
71,0.008820127311412077,7.007530218691647,7.101445751546506,n1
72,0.021373875643450217,6.955247681643206,7.101445751546506,n1
73,0.012700224198093643,6.9887504801368605,7.101445751546506,n1
74,0.0047094019998994196,7.032820668669329,7.101445751546506,n1
75,6.49753745977573e-05,7.0933850211454965,7.101445751546506,n1
76,0.005521906622939269,7.175755284063803,7.101445751546506,n1
77,0.003973143030261565,7.038412878930215,7.101445751546506,n1
78,0.0002172357982515583,7.116184672750297,7.101445751546506,n1
79,0.00180255117911686,7.143902213706192,7.101445751546506,n1
80,0.00709301051694827,7.01722573897854,7.101445751546506,n1
