Iteration,LogLikelihood
0,-11654.468606723227
1,-4656.05282936344
2,-4383.237580070809
3,-4298.3648579286655
4,-4309.166426014897
5,-4393.476965556811
6,-4225.510319997376
7,-4287.142923774236
8,-4253.758096611033
9,-4394.53571964225
10,-4344.190610362759
11,-4388.021361825494
12,-4338.495969998328
13,-4491.362211205584
14,-4355.890293361963
15,-4317.122571533912
16,-4377.382659009401
17,-4320.937346952287
18,-4280.793379822978
19,-4389.108543917134
20,-4339.213520906741
21,-4463.508517702738
22,-4370.445092706066
23,-4336.129822177832
24,-4334.4691951054265
25,-4363.518280296797
26,-4377.417188307283
27,-4261.232868956313
28,-4280.345212519166
29,-4263.697864709708
30,-4309.859117979167
31,-4307.450582010814
32,-4330.038445315154
33,-4302.481131014729
34,-4355.358470630215
35,-4352.964652917237
36,-4267.173514080881
37,-4265.51100190966
38,-4446.740926171342
39,-4361.737048116236
40,-4366.598461632168
41,-4321.35165208112
42,-4380.816396081421
43,-4381.967068220396
44,-4449.170659503318
45,-4440.209472254822
46,-4459.110611880369
47,-4380.683912420708
48,-4394.9273907168745
49,-4440.151028349977
50,-4505.914342475732
51,-4434.054362175961
52,-4368.854378200598
53,-4254.553921481557
54,-4286.35426555276
55,-4316.353548803885
56,-4265.638151308098
57,-4346.841654457828
58,-4419.113879715628
59,-4231.073858360883
60,-4460.0762233172245
61,-4316.911555054488
62,-4337.768101094951
63,-4243.072581609233
64,-4326.291427958264
65,-4455.667654357919
66,-4413.69738656663
67,-4333.754455657394
68,-4362.043873462491
69,-4467.670229562949
70,-4435.6949003205655
71,-4369.182983903163
72,-4377.724294620855
73,-4379.63089987342
74,-4306.369099194755
75,-4376.913312825295
76,-4418.393550381985
77,-4465.1441358212805
78,-4335.182900609013
79,-4483.211586706793
80,-4317.779593704156
81,-4206.189745562105
82,-4233.918820613389
83,-4272.929608267034
84,-4320.541722243851
85,-4324.281662523363
86,-4290.787532043211
87,-4382.154671831847
88,-4473.009987336446
89,-4327.31764786845
90,-4318.444581249897
91,-4338.321871500546
92,-4418.3172721917335
93,-4209.663744051643
94,-4219.58213122049
95,-4287.070694345557
96,-4342.992913402488
97,-4373.046701602472
98,-4291.0156523622645
99,-4401.915878020953
100,-4315.102678415261
