Iteration,Squared_error,LogLoss,Estimate
0,1.8121440677068052e-09,-1829.960976502298,0.06830746753896313
1,2.2182127811575795e-08,-460.2725262541054,0.0684138349105108
2,1.1139436706851203e-08,-460.73835794874157,0.06815935472355167
3,6.634242090339159e-07,-462.0453648703568,0.06745038968442983
4,2.258333662256065e-10,-460.572467793857,0.06824987050026683
5,7.75610588297399e-09,-460.3837884603627,0.06835296701003174
6,6.523416489970681e-09,-460.3971409836917,0.0683456659232976
7,4.699142585483747e-09,-460.67053306552594,0.06819634796108562
8,5.351784368799755e-09,-460.6789751488463,0.0681917423625976
9,9.470977797075879e-07,-462.3397810072324,0.06729170876538729
10,1.1812215915302796e-09,-460.6078962351908,0.06823052934903909
11,3.863935831910274e-06,-464.197164822855,0.06629920859537933
12,9.69552679277288e-10,-460.60197662143406,0.06823376061259108
13,1.0662753691047162e-09,-460.60475429364,0.06823224438127476
14,7.26539287944404e-09,-460.3889666211184,0.06835013552746924
15,4.5234221333782397e-07,-461.7825874565641,0.06759233434324084
16,3.2379728065017297e-07,-461.591269866195,0.06769586637329603
17,1.0854417458373168e-08,-460.73586566288566,0.06816071371786546
18,7.762289644242265e-09,-460.7063787690173,0.06817679439631899
19,1.2565824979348054e-07,-461.1957332754954,0.06791041517940853
20,1.208813216234302e-06,-462.57456021520187,0.06716543783297169
21,1.91712000528496e-09,-460.62514781307164,0.06822111332449204
22,3.1241855936298155e-09,-460.44264091043203,0.06832079266815717
23,1.3249785926289859e-08,-460.33435093690025,0.06838000596791803
24,4.334655256904262e-08,-460.92676238994727,0.06805669990436376
25,1.9834758280489278e-07,-461.36312308862944,0.06781953594836533
26,6.973253267656183e-08,-461.0294227058982,0.06800082907185562
27,6.6229312990164e-10,-460.4978327776682,0.06829063330990502
28,1.105446535274332e-10,-460.56420114412515,0.06825438423170836
29,9.983260186588324e-07,-462.3880376665467,0.06726573559470711
30,1.8289179995497964e-08,-460.7928266915716,0.06812966075868218
31,2.1155460902705807e-09,-460.62919746253704,0.06821890318753238
32,4.856137545182589e-07,-461.8275266908961,0.06756803832886295
33,1.794475246136187e-06,-463.0222422434145,0.06692531800348646
34,1.1985897826590404e-07,-461.1804999431098,0.06791869169912934
35,1.3085765729979227e-07,-461.20909617972904,0.0679031557244491
36,4.7192554150852993e-07,-461.8092287818672,0.06757792988337313
37,2.281635563449691e-08,-460.8218433827383,0.06811384741555243
38,4.8895735550650105e-09,-460.4169722415168,0.06833482373919984
39,7.087967279023408e-08,-461.0333991628481,0.06799866588730807
40,4.829700043423899e-09,-460.6722665849347,0.0681954022101011
41,1.2049813003800404e-06,-462.5713145069546,0.06716718185093788
42,6.459111664429904e-08,-461.0111864695595,0.06801075042907216
43,6.9695903563749865e-09,-460.392172949832,0.06834838232593754
44,5.485909270637805e-09,-460.6806451448279,0.06819083132919757
45,1.3717061194223721e-06,-462.7081417539877,0.06709369967106353
46,4.6812602670495115e-07,-461.80410330336815,0.06758070089399691
47,2.364391615854191e-06,-463.3927509187286,0.06672724041901351
48,9.000721908863159e-10,-460.4900242150891,0.06829489945662366
49,6.858568360651552e-07,-462.0706752379737,0.06743673351377674
50,3.6608043428934587e-09,-460.4342064156645,0.06832540283463913
51,2.302022656876663e-07,-461.4266011490585,0.06778510427092002
52,4.37368176782295e-10,-460.58324775907045,0.06824398490421803
53,1.63002207679854e-08,-460.3113847037547,0.06839257057140562
54,2.8490899968339947e-07,-461.5261735304754,0.06773112957727469
55,3.481386476309163e-07,-461.6300538615013,0.06767486550214578
56,1.7647938717300577e-08,-460.30193003827543,0.06839774379805592
57,4.9758791984199026e-08,-460.95407429217056,0.06804183146529698
58,6.754012791581974e-07,-462.0589300974381,0.06744307024277421
59,3.81275651164507e-07,-461.68075222108257,0.06764742303034844
60,7.818856564209477e-09,-460.38313826729194,0.06835332255196065
61,8.843599774967779e-09,-460.37286830850195,0.06835893866911286
62,6.072394971844704e-08,-460.9969881883301,0.06801847595391039
63,9.568676664627548e-07,-462.34908160887164,0.06728670212463392
64,1.0396608213137153e-07,-461.1367625760111,0.06794246053524565
65,1.0585341174335722e-10,-460.56378814380105,0.06825460974474334
66,1.9189251466137384e-06,-463.10757631481795,0.06687964551601598
67,9.263390459818188e-09,-460.7213089553777,0.0681686517446475
68,1.3905765182751769e-08,-460.3292051781372,0.06838282096197812
69,1.3742742986140975e-06,-462.710183461252,0.06709260379446123
70,5.955825001735208e-07,-461.96613052819316,0.06749315833602426
71,4.228845351115397e-07,-461.7414131980967,0.06761460252450026
72,1.466540571475431e-07,-461.24815026445606,0.06788194387348416
73,5.498294447506045e-14,-460.5453767794937,0.06826466376904368
74,7.522846635940672e-10,-460.59518062378993,0.06823747044524925
75,4.150392531947134e-08,-460.9185466666192,0.0680611731315018
76,9.910084870073932e-07,-462.38122055009103,0.06726940416156656
77,1.3453042328546806e-06,-462.6870423075522,0.06710502574631107
78,3.5090344741065513e-07,-461.63437290907484,0.06767252721483376
79,4.9034717736148553e-08,-460.95108178201707,0.06804346041176772
80,9.311738971225949e-08,-461.10496342850024,0.06795974683250905
81,1.0934155263982353e-10,-460.56409607648936,0.06825444160234662
82,1.4424984275708467e-06,-462.76375170062596,0.06706385769313092
83,2.2457007036849066e-08,-460.81965182057405,0.06811504163186807
84,4.183584298091033e-07,-461.7349624688724,0.06761809192247607
85,1.1166642522291274e-08,-460.3516001855901,0.06837057058911902
86,3.8097101654943003e-08,-460.9028626185186,0.06806971346498389
87,1.0258846588583267e-07,-461.1328192726986,0.06794460391089091
88,9.020395322884666e-07,-462.2962619166964,0.0673151406358141
89,1.8815292198310055e-06,-463.08222684902984,0.06689320979764593
90,9.361789862027543e-09,-460.72224383494296,0.06816814191071804
91,1.3432005868602708e-08,-460.33290897323474,0.06838079478434024
92,1.248095110645672e-10,-460.52449234844573,0.06827607007118168
93,3.082016644123641e-06,-463.8016283123814,0.0665093309251865
94,1.7211424001053587e-07,-461.3069281486531,0.06785003172069884
95,4.4699924575969875e-07,-461.7752201809203,0.06759631823150959
96,2.5526003141529106e-06,-463.5052520256251,0.06666721232871364
97,1.4061288022730617e-07,-461.23347391668995,0.06788991441351147
98,8.138297562123681e-07,-462.20784265594835,0.06736277312012155
99,4.714854126420582e-08,-460.94318139516696,0.0680477611049537
100,1.0885941721455023e-07,-461.1505632262089,0.06793495974826493
101,5.823460567154348e-07,-461.95015974522056,0.06750178223560574
102,2.880994805171064e-09,-460.44670181094165,0.06831857315267605
103,2.4050996400367063e-08,-460.2612951495113,0.0684199820901495
104,1.0538825244766635e-05,-466.6353474388558,0.06501854256673598
105,3.2106234991866757e-07,-461.5868231454922,0.06769827461301471
106,2.6305832482330022e-11,-460.5355561881671,0.06827002717464749
107,1.9169772190757544e-07,-461.3492463659405,0.06782706526943297
108,1.5270697648778092e-09,-460.4734125540418,0.06830397599348388
109,8.056636324272015e-08,-461.06577490722236,0.06798105610852885
110,1.026513588000775e-09,-460.48629403686516,0.06829693750420666
111,2.2433186055604574e-09,-460.63170525764616,0.06821753456900705
112,2.7419558512833935e-08,-460.242105070905,0.06843048677514836
113,1.5620811399965064e-06,-462.85472775658,0.06701506580869765
114,1.4651370559627851e-08,-460.7667859588073,0.06814385540750002
115,1.6108802571109216e-07,-461.2820433771251,0.06786354052560865
116,1.302849633971856e-08,-460.3361154922544,0.06837904069228609
117,6.806752136216439e-06,-465.4159327753102,0.06565592294959388
118,1.0525641279022779e-07,-461.1404325164221,0.06794046580627552
119,1.7505694397910633e-07,-461.3134344609148,0.06784650018466212
120,1.0739358857942626e-06,-462.45708541510567,0.06722858947429179
121,1.6984579645533718e-06,-462.9544028406414,0.06696164925018518
122,4.873050876481723e-07,-461.8297697907871,0.06756682584486666
123,2.3189619465813218e-07,-461.4298504883022,0.06778334223942631
124,1.42726988678063e-08,-460.32637976978845,0.0683843666545932
125,2.2594100726802145e-08,-460.2700109168963,0.06841521159527872
126,3.092778481266243e-07,-461.56744436462355,0.06770877070683103
127,9.897322698493332e-06,-466.4425615614662,0.06511889718886174
128,3.1858729890083937e-08,-460.8722091141138,0.06808640811399057
129,7.516561112373349e-08,-461.04797954373373,0.0679907347782846
130,1.1353653708165549e-07,-461.16346838000095,0.067927946421476
131,2.124954667794233e-08,-460.81215667602055,0.06811912601098534
132,3.22807678406622e-08,-460.87437247726587,0.06808522975917572
133,4.3613704018670543e-07,-461.7601069233222,0.06760449153016115
134,1.7823239626013425e-08,-460.78964568661127,0.06813139454705333
135,5.0559456141456594e-09,-460.67521610292715,0.06819379308055927
136,4.560684007939175e-07,-461.78769992881723,0.06758956988830321
137,1.1535001240236614e-09,-460.6071530085083,0.06823093503624501
138,8.88011522096207e-10,-460.49039335187246,0.06829469777564534
139,3.326670343603297e-08,-460.8793720587571,0.06808250663239775
140,8.569249560510924e-10,-460.59856127614466,0.06823562497288403
141,3.467494703442389e-11,-460.5341653539773,0.06827078679717719
142,2.1689141816553114e-08,-460.81490941424414,0.06811762591452739
143,7.850428468295911e-09,-460.38281212191725,0.06835350089715318
144,2.927530319710819e-08,-460.85864277553173,0.06809379798111967
145,1.0290108392349576e-07,-461.13371641408213,0.06794411626531319
146,9.602023164861474e-07,-462.3522453628885,0.06728499911759259
147,9.74000914034814e-07,-462.36527961346,0.06727798340707138
148,4.004644250676418e-06,-464.2640595880307,0.06626373752761837
149,1.3822599284421983e-07,-461.2275890208794,0.06789311068933299
150,4.659681272698319e-06,-464.5614623801919,0.0661062687640221
151,9.466648150406913e-08,-461.1096128941439,0.06795721906745587
152,2.0318325107350198e-07,-461.37306940808054,0.067814139724902
153,1.2262158724122117e-08,-460.7478784683323,0.06815416362146659
154,1.5554683003143602e-07,-461.2692177982681,0.06787050399636892
155,1.9381607628939727e-06,-463.1205212934926,0.06687271982995377
156,1.4028423266377967e-06,-462.73276994126047,0.06708048180363217
157,4.720801497409428e-06,-464.58814775939675,0.0660921577035135
158,9.418821444940583e-08,-461.10818148479353,0.06795799726870187
159,1.713715937884625e-08,-460.3054692602224,0.06839580722710394
160,1.9786307418407637e-09,-460.6264246849191,0.06822041645109908
161,2.456578663831874e-08,-460.2582790192088,0.06842163301871745
162,8.117063336871226e-08,-461.0677285164433,0.06797999364948686
163,7.93188093551487e-09,-460.70813387032075,0.06817583714559364
164,9.878538909434455e-07,-462.37827403673,0.06727098986184092
165,2.3601220671569643e-07,-461.43769717088577,0.06777908737800585
166,4.984872037041222e-09,-460.41573177381645,0.06833550187969788
167,2.0447820931813206e-09,-460.6277759454602,0.0682196789866304
168,4.056628999413819e-07,-461.71668168398486,0.06762798153996184
169,1.5179343124275997e-06,-462.8215536571122,0.0670328534846257
170,6.6563005189702e-08,-461.01826321227543,0.06800690018140049
171,6.517830511774716e-07,-462.0320636717526,0.0674575674345467
172,1.086725924040153e-09,-460.6053252385432,0.06823193272716932
173,2.436416088916667e-07,-461.4520641198517,0.06777129759616161
174,1.1622535320690284e-08,-460.34769592173757,0.06837270611644809
175,3.42798588249771e-08,-460.20638106085624,0.06845004646119458
176,1.8422383578111798e-09,-460.46637881985794,0.06830781955770808
177,4.4831879975082013e-07,-461.7770437144559,0.06759533212547687
178,7.662623411033927e-07,-462.1581941284251,0.0673895341343117
179,2.0389371705564002e-07,-461.37452079253717,0.0678133523343666
180,2.338409504797124e-07,-461.4335664743942,0.06778132721372171
181,7.197834226480229e-10,-460.4958308293484,0.06829172703321214
182,5.8202067352639196e-09,-460.40533012232976,0.06834118853289475
183,4.277672134663986e-07,-461.74833390637934,0.06761085910061203
184,4.753826472126855e-10,-460.5050297715269,0.06828670152494594
185,1.2834192699182836e-08,-460.33767727955654,0.06837818634948346
186,1.8354979578839474e-08,-460.29711453730886,0.06840037880402192
187,9.627391617524467e-07,-462.35464857430327,0.06728370552940423
188,6.392343205145817e-08,-461.00876594264656,0.06801206741663773
189,3.2976166177803407e-07,-461.6009032114888,0.06769064947307754
190,1.36535854388939e-09,-460.6126263443047,0.06822794749509944
191,1.1049240265883826e-08,-460.35261848092006,0.0683700136199257
192,9.711976701413318e-09,-460.72553173918436,0.06816634889171594
193,2.2233347503421425e-08,-460.27221226078404,0.06841400676262469
194,1.1521432649205316e-09,-460.4828093296567,0.06829884148938929
195,4.075763359075025e-08,-460.9151675409511,0.06806301305442801
196,2.0558422610618964e-08,-460.8077707667275,0.06812151616737949
197,5.483985679398796e-09,-460.4094205881807,0.06833895219110236
198,2.7513998583676785e-06,-463.6197694482526,0.0666061638388093
199,3.2654617214383875e-07,-461.59572056061535,0.0676934560672884
200,1.6101020039211967e-08,-460.7775117970256,0.06813800845860793
201,3.5696710881061773e-08,-460.8913876739477,0.06807596252132163
202,1.3695301155635503e-08,-460.7594195523018,0.0681478713285489
203,2.0484267556456596e-08,-460.28314845509715,0.06840802151347833
204,1.155061329739387e-07,-461.16882361801953,0.06792503632124396
205,7.094405713335501e-09,-460.6992732505174,0.06818066995826019
206,1.262584948380691e-08,-460.33936512940113,0.06837726305882731
207,4.593747206707529e-07,-461.79221904051826,0.06758712637394437
208,1.6957964260088286e-08,-460.306723409564,0.0683951210020938
209,1.7499728932556608e-09,-460.46837097021836,0.06830673093080424
210,3.3596992397382786e-09,-460.43885643549623,0.06832286116608932
211,1.0361482850104776e-08,-460.73147690977083,0.06816310688423445
212,8.910725888395976e-07,-462.28550847490595,0.06732093184048356
213,1.0400056864099775e-08,-460.731824055225,0.06816291758439569
214,1.0342697288815973e-06,-462.4211716044281,0.0672479077280033
215,6.180068131126077e-07,-461.9927919551431,0.06747876415987124
216,6.264076839436743e-09,-460.4001070969604,0.06834404417464639
217,1.7748361457393775e-08,-460.78913063518996,0.06813167527700435
218,4.103389309405499e-08,-460.91642198042655,0.06806233001041218
219,1.1671957673479291e-08,-460.74293059782815,0.06815686141866692
220,1.1998490086646775e-07,-461.1808345583091,0.0679185098863602
221,5.3103469942879036e-08,-460.96762388520386,0.06803445635201855
222,4.0989531679169844e-07,-461.7228071853899,0.06762466757879378
223,2.7948337894813574e-08,-460.2392024468097,0.06843207581743596
224,2.121419814629241e-07,-461.3911904768701,0.0678043095199275
225,3.5043771400689244e-07,-461.63364654541886,0.06767292045489035
226,5.166532576315823e-07,-461.86809615830435,0.06754611229253529
227,3.942251814621959e-06,-464.23454040536905,0.0662793877864524
228,1.0204956298648947e-07,-461.13126954613773,0.06794544628057138
229,2.8452855034965897e-10,-460.5140642460647,0.06828176622756965
230,2.402158230517939e-07,-461.4456410554085,0.06777478008092855
231,1.460852167568548e-09,-460.6149537433965,0.06822667715762167
232,2.5003041736573485e-07,-461.4639239786579,0.06776486783702577
233,1.4439951778472782e-08,-460.3251039925396,0.06838506460390803
234,2.814438788139623e-07,-461.5201649328357,0.06773438540836836
235,1.3739018009842571e-08,-460.3305014739406,0.06838211181074469
236,3.3749033747073346e-09,-460.4386167539711,0.0683229921720354
237,1.2094300573074927e-08,-460.7464835841951,0.06815492416300375
238,1.6819655334267e-07,-461.2981797453811,0.06785478052239066
239,2.363504124537071e-09,-460.4559584501637,0.06831351413692574
240,2.4333522033377378e-08,-460.8309116542905,0.06810890619586925
241,3.5643559241599698e-09,-460.43567431545307,0.06832460048059533
242,2.5305333622649073e-06,-463.492276116849,0.06667413322925161
243,6.284760311050195e-07,-462.0050755123679,0.06747213345158308
244,8.543972718444453e-08,-461.08132911022227,0.06797259750563213
245,1.635622592841023e-06,-462.9089851130647,0.06698598363831762
246,1.9548667174103243e-08,-460.2891908598789,0.06840471480175053
247,7.389404432019962e-08,-461.0436979947382,0.06799306366346684
248,7.50331998652517e-09,-460.7036613216055,0.06817827654725754
249,8.894593368543956e-09,-460.37237324578444,0.06835920940534429
250,1.0780510759373186e-06,-462.46077364267757,0.06722660586885722
251,6.722342883580745e-08,-461.0206099470586,0.06800562344011996
252,3.136532814758166e-07,-461.5746814949272,0.0677048506827406
253,1.4431528352464126e-08,-460.7651138646091,0.06814476695715908
254,7.451663962307673e-07,-462.1356891196729,0.06740166804301796
