Iteration,LogLikelihood
0,-19756.197857600004
1,-6612.079615911297
2,-5459.810303303603
3,-4485.158298727419
4,-5554.996613286982
5,-4784.517702452309
6,-5289.610024719543
7,-5162.355667005704
8,-5364.959396149622
9,-4309.531526459491
10,-4530.394037235986
11,-4368.503780392815
12,-4055.120512560408
13,-4299.7208320241225
14,-3992.604912553648
15,-3914.544647733788
16,-4021.0032262213704
17,-3991.23411398908
18,-4105.6699002418745
19,-3991.8847101507154
20,-3838.7465358481063
21,-3878.725780907162
22,-3733.3309298584218
23,-3703.192960543727
24,-3649.7528082343415
25,-3711.767314696971
26,-3523.1211442417243
27,-3544.385569044733
28,-3507.793367460099
29,-3463.023598698548
30,-3491.6229848373514
31,-3468.0020341114323
32,-3459.5610817937604
33,-3456.3871069701654
34,-3352.333377197224
35,-3464.2294423909957
36,-3332.0311381710676
37,-3335.7394539196866
38,-3361.067668743734
39,-3396.956344123362
40,-3397.1307252596616
41,-3365.3128348125733
42,-3375.1414240287277
43,-3367.259178808879
44,-3367.6578731949817
45,-3375.869945354688
46,-3413.0240012201584
47,-3424.908601619545
48,-3380.752351102503
49,-3405.380727414719
50,-3412.1039930469647
51,-3537.255671554369
52,-3461.136883082399
53,-3442.7656561972626
54,-3408.521384623933
55,-3360.8133542771766
56,-3320.723989560905
57,-3385.9036840521885
58,-3445.4085519215632
59,-3414.10987479365
60,-3434.372084339738
61,-3371.7125275654607
62,-3404.158708481686
63,-3362.9788993980037
64,-3373.283166190984
65,-3403.3440371408683
66,-3434.5892674512315
67,-3401.9978793199434
68,-3312.6800420218906
69,-3349.214530272264
70,-3359.5107477510164
71,-3437.6462969290546
72,-3512.6646131666266
73,-3489.901833030436
74,-3422.119796462205
75,-3425.8314632490883
76,-3439.8221844797417
77,-3407.3172057355
78,-3376.2360668933266
79,-3448.1554262699647
80,-3421.5691820770494
81,-3652.171980601841
82,-3595.816778643255
83,-3492.5981024676557
84,-3427.199468441691
85,-3467.3460588456783
86,-3466.0440275725937
87,-3468.603094683565
88,-3436.833440387096
89,-3395.538126064232
90,-3317.11832305658
91,-3396.9491451266845
92,-3332.942211506133
93,-3390.2326816472364
94,-3435.4230553913394
95,-3526.55593967834
96,-3462.2190845733694
97,-3444.496256513831
98,-3399.5756224623287
99,-3427.840299108525
100,-3496.394842577616
101,-3576.785262096292
102,-3537.7315277379444
103,-3461.269334662484
104,-3492.754829168145
105,-3452.0286423596194
106,-3384.972740733757
107,-3396.8881296894424
108,-3461.7611283662554
109,-3483.721719185408
110,-3456.8339308989703
111,-3394.3973815938484
112,-3458.9997539500478
113,-3478.5578743526994
114,-3434.402227935818
115,-3387.2734951402404
116,-3336.122840348371
117,-3385.651726044938
118,-3412.981659307029
119,-3389.207880778408
120,-3405.2547660558603
121,-3414.229628756623
122,-3404.3602465506124
123,-3432.204933540232
124,-3427.823506529354
125,-3395.460471157998
126,-3391.0089971390644
127,-3334.85867764283
