Iteration,LogLikelihood
0,-23649.183777399994
1,-5714.82108734853
2,-2898.4678565912
3,-2491.1017512201056
4,-2327.88740109898
5,-2286.999892897725
6,-2267.647717474994
7,-2246.6702785322436
8,-2258.5422358445912
9,-2237.2747141993977
10,-2229.487520588773
11,-2208.6813984811015
12,-2136.044799399296
13,-2138.8718726994052
14,-2132.747488741166
15,-2125.4854225591635
16,-2077.8149825369587
17,-2161.251491904686
18,-2087.6395130818764
19,-2055.4097910514033
20,-2035.8419820994577
21,-2134.158710828718
22,-2107.8911909589497
23,-2115.7128602211355
24,-2113.053243447196
25,-2118.9542944410314
26,-2143.5541020095143
27,-2100.29809884059
28,-2146.2567438944384
29,-2108.8632414100666
30,-2132.18834006296
31,-2109.0320358540107
32,-2093.6721006907906
33,-2085.4272116936113
34,-2184.0326875948163
35,-2188.479853475432
36,-2162.779075245479
37,-2111.9923402587583
38,-2090.275779292962
39,-2112.633032222695
40,-2094.326366479161
41,-2154.4628312917544
42,-2037.790823524175
43,-2098.2792320330536
44,-2101.2129505026487
45,-2152.4535946083374
46,-2123.406242472251
47,-2121.5894891205257
48,-2093.6288363339154
49,-2069.1040458410453
50,-2037.8807723589564
51,-2051.3476159983175
52,-2090.1371694694353
53,-2117.4093653072828
54,-2178.9809168404254
55,-2123.368075427017
56,-2185.9076124111075
57,-2138.710732154338
58,-2117.498322267563
59,-2135.8374350571285
60,-2164.2436235952027
61,-2157.175614253483
62,-2195.151823690301
63,-2193.1141633415973
64,-2200.5799338505963
65,-2131.3557766520344
66,-2162.9503122221263
67,-2184.0847170251104
68,-2191.5712448962645
69,-2178.3504209756943
70,-2179.821292896667
71,-2180.510925364903
72,-2188.23093193922
73,-2224.1931066492243
74,-2227.566255052233
75,-2199.930210806222
76,-2171.997213332773
77,-2124.4375407301372
78,-2177.0780945705883
79,-2108.602907335873
80,-2148.682761648989
81,-2168.729203419125
82,-2168.7274849509986
83,-2134.6433085475974
84,-2131.2718796270287
85,-2115.9989405826414
86,-2132.8593910856653
87,-2184.3398670356723
88,-2167.7928162710896
89,-2156.9071839259236
90,-2140.7260290611175
91,-2146.760242550004
92,-2085.337415061438
93,-2112.2834303225113
94,-2156.703075606365
95,-2166.5501967238047
96,-2186.872293325791
97,-2142.3088349013674
98,-2165.7459794893207
99,-2170.4812191614537
100,-2151.756278432212
101,-2147.3898295323906
102,-2159.0190359423914
103,-2078.674551594467
104,-2096.191115292021
105,-2064.793777591417
106,-2037.699733609527
107,-2074.691351084228
108,-2069.2684774109703
109,-2081.5033604804225
110,-2097.095489730324
111,-2147.550590875498
112,-2141.669227280965
113,-2154.4826047426795
114,-2163.3349392201335
115,-2189.9817450795967
116,-2159.542111900043
117,-2190.083920291352
118,-2160.331644277166
119,-2216.4891916320225
120,-2148.714374894139
121,-2133.458074990995
122,-2162.4289885987573
123,-2156.1139819697
124,-2169.762751345601
125,-2138.541682345794
126,-2089.6079125842507
127,-2105.9864844336744
128,-2104.804300685554
129,-2088.861206708903
130,-2174.5738124058344
131,-2176.9078578911026
132,-2186.243338436797
133,-2208.1206734861094
134,-2208.5290572367812
135,-2218.293966280715
136,-2155.7351867707084
137,-2215.701815512462
