Iteration,LogLikelihood
0,-11558.041718823226
1,-3665.7109807278157
2,-3928.4453068792186
3,-3884.980096343883
4,-3862.5023546138586
5,-3880.149883053514
6,-3831.971967806814
7,-3886.277797785782
8,-3855.0961349918275
9,-3828.156996944351
10,-3851.867134306958
11,-3818.5297662351886
12,-3803.9253547195367
13,-3839.2811108944006
14,-3849.931629668436
15,-3890.686874048214
16,-3810.558085604417
17,-3810.2476036372555
18,-3870.275893630874
19,-3813.8775334858765
20,-3784.0520482891297
21,-3794.9062624884195
22,-3825.8134243160493
23,-3823.7999955754312
24,-3845.0634881025953
25,-3910.4480482868244
26,-3854.0431315451
27,-3755.034507191491
28,-3853.1638234883794
29,-3803.3329200676544
30,-3899.2187632909286
31,-3972.08205976023
32,-3840.306323122218
33,-3855.0612683064437
34,-3920.7368437162704
35,-3919.7925541137465
36,-3815.8236649911214
37,-3742.9914068197204
38,-3891.930220219933
39,-3922.9997820761987
40,-3827.632170776107
41,-3831.4978943281612
42,-3892.0645601970614
43,-3853.55554820431
44,-3871.8114348985487
45,-3825.3416239387734
46,-3857.7952939793067
47,-3827.3962561658523
48,-3878.9640459453203
49,-3887.1175259113115
50,-3907.851955862292
51,-3851.2276999698056
52,-3841.216075724555
53,-3831.7946346027493
54,-3758.1754330853887
55,-3877.196067833796
56,-3830.784592279638
57,-3827.759354070356
58,-3864.8079457178815
59,-3844.6281025953003
60,-3856.021078548354
61,-3879.367574639557
62,-3864.364197464516
63,-3829.0463971136473
64,-3847.7686689214634
65,-3835.7288800781416
66,-3855.52053089738
67,-3924.402360174911
68,-3864.4868433353163
69,-3868.327537998067
70,-3852.6959475784497
71,-3792.100049549686
72,-3872.709002005064
73,-3821.60308908448
74,-3890.435118788145
75,-3934.20655042336
76,-3855.023570237857
77,-3816.016170265926
78,-3877.4967440107316
79,-3793.2244229151684
80,-3800.958950473807
81,-3760.707088689204
82,-3823.8543728946506
83,-3829.1133921429832
84,-3863.785093089047
85,-3868.501090281155
86,-3848.177091310009
87,-3871.127662334967
88,-3863.6231547829357
89,-3871.681955912502
90,-3869.3462126977106
91,-3814.063302644215
92,-3853.315082870086
93,-3879.416483323627
94,-3900.768732682898
95,-3862.7476674930595
96,-3869.757758127792
97,-3829.382689531465
98,-3850.913522700279
99,-3829.8195247281355
100,-3851.6489663555394
