Iteration,LogLikelihood
0,-12610.128991419284
1,-5864.7140915838845
2,-6569.825858159964
3,-5538.440795318933
4,-6142.073441068694
5,-5556.421385564163
6,-5950.705880742861
7,-5534.657784311161
8,-5753.701668972426
9,-5578.147284381888
10,-5756.330593624218
11,-5536.223687929482
12,-5654.498696454309
13,-5559.06712924875
14,-5688.909948202762
15,-5664.147333627549
16,-5704.034850533273
17,-5606.236050756475
18,-5672.378022882707
19,-5623.477369473496
20,-5649.596035957183
21,-5628.448703997626
22,-5682.063222558011
23,-5640.357734202748
24,-5653.300585611046
25,-5617.206906180233
26,-5651.406847576844
27,-5621.880234009554
28,-5670.886036118604
29,-5689.550821421703
30,-5616.9283899328975
31,-5693.873271726196
32,-5676.986170228528
33,-5599.059391347676
34,-5621.694052465908
35,-5609.107256877454
36,-5658.819694017301
37,-5641.402860284174
38,-5644.543361755923
39,-5634.911934597208
40,-5653.884820407083
41,-5663.314739106263
42,-5666.2015631082
43,-5623.855993623744
44,-5632.204868078839
45,-5642.499465165638
46,-5652.969997394031
47,-5618.844364500534
48,-5699.392769117755
49,-5653.252846409249
50,-5649.3831231923505
51,-5635.902967851554
52,-5660.128718322201
53,-5592.863547189156
54,-5692.361310283543
55,-5630.945459990479
56,-5679.554873400849
57,-5635.603628413112
58,-5609.888864110835
59,-5597.457897080843
60,-5669.038253529846
61,-5658.567989526851
62,-5667.315228426583
63,-5616.969956153713
64,-5671.528536546006
65,-5677.080178467527
66,-5679.698502908686
67,-5687.346691165176
68,-5653.897967418453
69,-5668.392039470123
70,-5687.675206744358
71,-5682.746866135716
72,-5642.482359916248
73,-5625.182515882621
74,-5631.436434034683
75,-5714.786281241965
76,-5680.376841860716
77,-5630.306390253248
78,-5654.425718816981
79,-5648.60968890381
80,-5631.3106370971045
81,-5694.0569422505605
82,-5683.017025267103
83,-5650.920696354917
84,-5685.548275193228
85,-5657.559222769814
86,-5653.481626432996
87,-5663.107170975247
88,-5646.634066507182
89,-5652.627828272789
90,-5659.705088633921
91,-5640.023147868437
92,-5635.3324744950105
93,-5641.204575345416
94,-5612.883282137669
95,-5609.099729343451
96,-5637.988805292058
97,-5602.850623310045
98,-5658.218086318095
99,-5673.496467860474
100,-5627.491528042354
