Iteration,Squared_error,LogLoss,Estimate
0,2.089095024536383e-21,-204.44827841395283,0.0929330398250168
1,1.6085354211430534e-05,-63.33887375226228,0.09694369486438426
2,7.422905534553258e-06,-63.59263423683383,0.09565754074913076
3,1.4616775500891072e-06,-63.89606122691323,0.09414203835254718
4,1.1096059608944698e-05,-63.472533751663065,0.09626411462220169
5,3.6135575171990074e-06,-63.75692326139169,0.09483397573751577
6,1.227492501571343e-07,-64.21340992333484,0.09258268388859742
7,3.819446639703942e-06,-63.74622667338381,0.0948873802408736
8,0.00012974423644301688,-66.62598588626832,0.0815425070242975
9,4.73752880556825e-06,-64.59193825979567,0.09075645327618924
10,7.4325796391298994e-06,-63.592281717660114,0.09565931556123869
11,1.9283123551659475e-07,-64.23163614305584,0.0924939142442788
12,6.446654295204249e-06,-64.66796748003249,0.09039401352989797
13,1.149557705089058e-06,-63.92369555941972,0.0940052140678888
14,1.2221750479103962e-05,-64.87017891321148,0.08943707775447296
15,2.423402242059125e-06,-63.826010817065544,0.09448976783586313
16,3.933074026034353e-05,-65.46913981090066,0.08666161727238693
17,5.114787962461859e-06,-63.684803284745634,0.09519462947739024
18,1.1319580207992807e-05,-63.46594586271752,0.09629749816187234
19,2.067053662536017e-06,-63.84995499558785,0.09437076494864402
20,1.5687392664270965e-06,-63.88728504720263,0.09418553299942241
