Iteration,LogLikelihood
0,-12466.512986159234
1,-4998.706006750593
2,-6260.917481924724
3,-5128.6047628140595
4,-7027.716308817373
5,-5434.830714442747
6,-7746.7858148729565
7,-6057.208957253185
8,-7714.790021908225
9,-6179.670747014712
10,-7789.56625452349
11,-6403.046012126621
12,-7566.624227931542
13,-6684.511585963068
14,-8851.35743656074
15,-6683.328594449339
16,-8567.285222935949
17,-7023.540774573081
18,-8499.180840607729
19,-6444.166207279475
20,-7119.991258099981
21,-6960.41188112192
22,-7623.9571862522425
23,-7133.123751950954
24,-6896.0533576880825
25,-7011.477178397103
26,-8078.078017381337
27,-7290.427434194635
28,-7544.151465409269
29,-7194.146309627452
30,-7513.66536869031
31,-7007.382232615753
32,-7804.604260836513
33,-6674.654485652071
34,-7097.2200158213245
35,-7056.143530081869
36,-7016.890046264542
37,-6992.9204165005585
38,-6924.005996979629
39,-6691.971946845026
40,-7000.7055795751085
41,-7291.961257890104
42,-7461.419842896622
43,-7143.494715398398
44,-7509.217774993069
45,-7617.406918448793
46,-7965.383903788292
47,-7917.197963223567
48,-8209.980702237332
49,-8678.71665209025
50,-7838.073924035078
51,-7530.659176832749
52,-7192.376442308551
53,-8503.133382056201
54,-7617.616380798652
55,-6886.712508196614
56,-7893.3320433520275
57,-7628.273483724738
58,-7347.090774449941
59,-7784.116126044942
60,-7528.5734900789
61,-6978.687280733409
62,-7031.590829255116
63,-6709.4396922749465
64,-7124.769847405701
65,-6630.612891505013
66,-6671.617883443885
67,-6833.593113995799
68,-7014.696375379808
69,-7140.715726070715
70,-7217.761835162323
71,-7497.661667134138
72,-7113.213336250515
73,-7656.728395795784
74,-7102.293157164127
75,-7361.685345396677
76,-7282.434603112896
77,-6715.473626939092
78,-6620.7975816490925
79,-6797.7173040975185
80,-7463.431454646357
81,-8004.935107298946
82,-8149.0307139216775
83,-7295.008260296663
84,-7481.624397639024
85,-7703.195281183907
86,-7459.413847237172
87,-7422.435996909113
88,-7919.125538874214
89,-7881.996510200692
90,-7187.586600767462
91,-7925.89487573202
92,-7903.302197254112
93,-7186.640591949345
94,-7405.073225300827
95,-7474.937222199882
96,-7431.6043621640065
97,-7405.1299332555745
98,-6726.06840358595
99,-7770.530992458338
100,-7413.368357787563
