Iteration,LogLikelihood
0,-14348.661737600001
1,-1833.2076109976497
2,-1665.1842169123456
3,-1505.8553452947135
4,-1452.030779949519
5,-1296.1223149763
6,-1270.1260575896567
7,-1250.5318140203808
8,-1211.5495764545296
9,-1216.5349511819836
10,-1125.6206029806426
11,-1078.4705235498807
12,-1083.2292204232394
13,-1126.8665371924767
14,-1139.4917196943934
15,-1098.929554654791
16,-1142.5983632599327
17,-1170.5474240168473
18,-1172.089344972911
19,-1194.241357952675
20,-1156.8418316356351
21,-1190.5336033676388
22,-1154.3730158639285
23,-1156.671893420992
24,-1147.3373403584528
25,-1122.0002986175218
26,-1135.5225635658226
27,-1141.3547265468928
28,-1102.0227636213726
29,-1057.516366444394
30,-1106.3986714155712
31,-1110.207370212116
32,-1079.3320143685448
33,-1037.0116782326354
34,-1061.7958165428063
35,-1097.3465946719466
36,-1024.0169500957631
37,-1029.7451851561227
38,-1057.2275512149185
39,-1091.62261417621
40,-1113.3447133421432
41,-1096.776036997635
42,-1065.4651379278757
43,-1065.0134123626517
44,-1114.360967676735
45,-1137.2894814714443
46,-1085.7403570296672
47,-1076.5561039160475
48,-1123.0446697824893
49,-1100.399956305278
50,-1044.1290065609442
51,-1068.8321701418315
52,-1027.3003245317084
53,-1048.989578196852
54,-1062.0767884264887
55,-1099.6806500202997
56,-1121.0528946663192
57,-1148.721063822232
58,-1128.1573106034061
59,-1109.6794770898782
60,-1136.901317231026
61,-1117.8732189716852
62,-1172.8940566128476
63,-1157.411406734886
64,-1141.3304259869742
65,-1156.378567223426
66,-1140.8257810184723
67,-1140.8571743094758
68,-1134.1856354665188
69,-1104.2051457389962
70,-1082.7469020566239
71,-1003.5876686482055
72,-1077.6963689779398
73,-1030.0512411315735
74,-1064.3895666866506
75,-1054.4311354735619
76,-1064.9337139849931
77,-1052.9061992738675
78,-1000.915174631191
79,-1018.4094222827173
80,-1032.863134488914
81,-1059.6161928261722
82,-1033.6665385853917
83,-1042.3497531054738
84,-1116.9835829424878
85,-1127.586162493138
86,-1132.5952708984464
87,-1124.3452519908997
88,-1039.4845121119242
89,-1162.709172454664
90,-1139.4782502199628
91,-1141.627820629998
92,-1209.1547101778256
93,-1066.2409482957178
94,-1098.7888886894723
95,-1113.5932329043678
96,-1109.0400839383626
97,-1018.8785621468102
98,-1076.7081222100396
99,-1059.5406645876553
100,-1081.614286196174
101,-1040.4428198350147
102,-1077.806324086391
103,-1077.9161810532632
104,-1080.7950354427971
105,-1042.5532125618304
106,-1122.5313058678648
107,-1123.4075485816047
108,-1154.9490413339577
109,-1091.9047151884001
110,-1100.0132931929184
111,-1075.8795969835724
112,-1085.7722521030341
113,-1106.2583416580171
114,-1064.7765439553011
115,-1102.2818775939606
116,-1087.7670102641769
117,-1084.4456352182242
118,-1076.9689125339953
119,-1098.8838524599955
120,-1116.301899289807
121,-1106.5792641999606
122,-1098.3209812163896
123,-1101.8255863391007
124,-1105.75258025305
125,-1026.2762581893203
126,-1074.033418416217
127,-1059.119035318834
