Iteration,LogLikelihood
0,-12226.175459853308
1,-4879.5070290189415
2,-4689.977965356269
3,-4653.739238596332
4,-4655.663120527249
5,-4665.954144985866
6,-4599.341885776043
7,-4507.885530877241
8,-4516.888195066461
9,-4565.417982789402
10,-4436.494172580438
11,-4516.079430897608
12,-4473.394743307146
13,-4584.663251324687
14,-4589.122189037229
15,-4567.695903196196
16,-4478.864261064909
17,-4386.6836442458425
18,-4414.807472944356
19,-4477.014681424185
20,-4593.877560575014
21,-4639.834672228784
22,-4575.227108272967
23,-4606.192845919963
24,-4600.118104368764
25,-4544.240232548484
26,-4480.5031435978635
27,-4543.894139157406
28,-4523.658073760496
29,-4450.167116779658
30,-4502.177639867661
31,-4603.4643504902415
32,-4602.797623245447
33,-4494.207754956857
34,-4525.662253673818
35,-4484.473912180038
36,-4628.98913539191
37,-4526.5990166038755
38,-4560.476678888172
39,-4579.941821747107
40,-4629.816862593594
41,-4501.747983378842
42,-4581.556843413766
43,-4649.302406227307
44,-4546.895702050962
45,-4569.257886940108
46,-4532.271699751037
47,-4462.654833769035
48,-4497.195172194435
49,-4569.955486442454
50,-4582.337042320431
51,-4566.912171756197
52,-4646.365040124383
53,-4634.177176464502
54,-4553.8809258631745
55,-4479.359216360057
56,-4494.288388968237
57,-4490.351680041367
58,-4467.355308564488
59,-4470.017606171438
60,-4530.472575786263
61,-4508.202134571079
62,-4597.104268684657
63,-4675.586105665005
64,-4620.62307911706
65,-4599.980291423324
66,-4617.169581635748
67,-4659.219062801758
68,-4630.485240732399
69,-4613.133105977695
70,-4528.183634788167
71,-4569.690138972968
72,-4568.424438639721
73,-4618.438607072132
74,-4444.608248886034
75,-4426.853181579102
76,-4388.435137382869
77,-4482.098897241373
78,-4546.680754319785
79,-4544.8616036856765
80,-4570.96076353095
81,-4550.821086183833
82,-4573.522516448821
83,-4379.260266455053
84,-4387.96139604369
85,-4431.618980365617
86,-4521.109482200803
87,-4470.571528871883
88,-4462.3214491927565
89,-4376.364007747195
90,-4432.1338693392945
91,-4452.228625881981
92,-4518.591095087324
93,-4542.511968817544
94,-4534.75065618811
95,-4624.959981535078
96,-4647.0700750793585
97,-4555.582655458049
98,-4624.020945340145
99,-4642.138009097671
100,-4548.937870872182
