Iteration,Squared_error,LogLoss,Estimate
0,4.3962316507533625,-13.253601936491803,8.676886521192761
1,10.793116677420338,22.122498329797136,3.294879348335361
2,7.791829332062101,38.18514125078747,3.7887824209980074
3,4.906040424070307,54.47159603088167,4.365208927653535
4,6.925934937195939,42.932160625881906,3.9484501541416006
5,3.266776900014166,64.7359741698748,4.7727445391563
6,1.7200084102744697,76.10460388492575,5.268676351022682
7,5.130821890944652,53.14213849165624,4.315035502093196
8,5.306959805187646,52.11006644944473,4.276483298440554
9,2.5680641662632113,69.57013892019373,4.977649191771184
10,2.870853741877324,67.42848475097459,4.885807872444438
11,3.1181999365040207,65.7335155353479,4.814324705155328
12,4.670939781851474,55.878262784559695,4.418931555118254
13,3.7376563148713493,61.66218031221058,4.646865342008741
14,2.70759311405148,68.57334957781492,4.934690700886083
15,3.089439654319635,65.92832525730222,4.82248707112804
16,3.4885056146319693,63.27301288693769,4.71241309893747
17,4.903825222673488,54.48477054540516,4.365709038981486
18,4.861285473640945,54.7380541484821,4.375334961695304
19,4.850523271747426,54.80221963793206,4.377776908185609
20,3.6872724139912325,61.98529792646626,4.659940084562723
21,4.533312136260573,56.71006018937427,4.4510096503782535
22,2.447236403392164,70.4482494573306,5.015802725659714
23,4.869406254220826,54.68966044399271,4.373494143242762
24,4.206402893824995,58.71310722332302,4.529215557855584
25,4.453919061569124,57.192881252603286,4.469736249044272
26,2.8090904328528508,67.85900958937177,4.904133123934674
27,4.741327536108082,55.45528552141434,4.402708299137873
28,2.806138277578018,67.87966515418854,4.9050140520857495
29,5.05115763168731,53.61166738418345,4.332689201931214
30,4.491588297670736,56.963520424313714,4.460830503355397
31,6.3945332125810275,45.892920839214135,4.0514258336933215
32,3.921379884184761,60.49447069009245,4.599919832225049
33,5.92312411402616,48.55822004973837,4.146420333346526
34,3.8280183212548735,61.085838204336014,4.623635043963956
35,3.9096635980158774,60.56846070861815,4.602880333665371
36,5.368917574928992,51.74892809496554,4.263074779233038
37,4.085701837192577,59.463230871188124,4.5588553523442314
38,5.450881042635109,51.27263664742278,4.245455065305962
39,5.330606143188926,51.97212349170335,4.271356714995437
40,6.552259300595288,45.009694283295715,4.020429131012329
41,6.19607786986544,47.01008411870012,4.090975049948072
42,3.6806698719718183,62.02773647119705,4.661660063433825
43,5.3657369077209465,51.76744417842238,4.263761229697484
44,5.187575253988749,52.808700523147344,4.302542347143311
45,3.9820384102161164,60.11240205850874,4.584662711979246
46,4.984591910802771,54.005362317131684,4.347547296664671
47,5.294594385050653,52.182257593282486,4.279168699674201
48,4.727736825773995,55.53683058553332,4.405831311734682
49,1.7710291122823127,75.68236411740595,5.249367084823247
50,3.6389576712627716,62.29636694630417,4.672562043343112
51,2.3648037371497748,71.0558878186651,5.04237542422386
52,3.8801798959510045,60.75493519869599,4.6103500382703215
53,2.1236905800735464,72.87739579727756,5.12287848509353
54,3.7298541912571666,61.71213237130658,4.648884219504991
55,3.518893517820599,63.07475196319397,4.704295860005258
56,2.1687953491518157,72.5313001378401,5.107484217904079
57,3.6584794703852754,62.170532252538685,4.66745205335895
58,3.740871329850991,61.64160546761309,4.6460340378344345
59,4.433566194315035,57.31701874308525,4.474563739682984
60,3.8366452504385546,61.031021546661144,4.6214316368081905
61,5.839391461630251,49.036029220983515,4.163683978312008
62,5.103438268713609,53.303335550183036,4.321088186909738
63,6.489985818161522,45.357936095252754,4.032622205125641
64,1.6327352012985359,76.83795744808562,5.302381990282514
65,3.597616515867804,62.56350829510138,4.683428873381841
66,3.2277284658651686,64.99674242057343,4.783579255553195
67,2.7040302111826224,68.59858528503277,4.935773692836279
68,7.116109423992843,41.88217261344239,3.9125635765601308
69,2.541172745302374,69.7643299036736,4.986061636750051
70,3.667009159191783,62.1156133773083,4.6652236183978975
71,2.4123912088791646,70.7042277552017,5.026979827061091
72,2.9304322751304057,67.01604701021243,4.868316721146955
73,3.022951472257802,66.38091240022158,4.841503559229397
74,4.571545760168008,56.47833586814448,4.442049922135444
75,4.032474218288434,59.79597371256248,4.572065118876015
76,1.9192109505349013,74.48093608917674,5.194811369170575
77,3.539936171878976,62.93776428631242,4.6986954522518145
78,1.5978569644669176,77.13517214479205,5.316103591216832
79,3.7679449492720987,61.46854874582859,4.639047752995345
80,2.927730174203518,67.03469318202528,4.869106137056652
81,4.496410485695478,56.934195618492076,4.459693144127691
82,5.045899626570473,53.64271943444103,4.33385926322193
83,2.199273294530472,72.29888833161974,5.097172557444116
84,3.6116609421157775,62.472653302851754,4.6797302224999235
85,4.154139871199779,59.03716855502306,4.54199654537333
86,2.2609937266273015,71.8316975136833,5.076507152192395
87,5.368166559035498,51.75329986779808,4.2632368448744105
88,3.197330688177048,65.20042303623731,4.79205913125821
89,4.560240244963165,56.54680308863205,4.444695360094932
90,4.185691370880766,58.84139780515014,4.534271035454932
91,4.743711133810033,55.44098989033345,4.402161033209488
92,6.30396566260901,46.401914861794616,4.069397328041085
93,3.4264424660438366,63.67956414803421,4.729102037579703
94,5.026478730074623,53.75748055606984,4.338186278833374
95,5.5798301309906675,50.5265477740147,4.218000855979281
96,0.8914607703457637,83.85498159140742,5.6359952597445835
97,5.126296396007316,53.16876422661723,4.31603466985755
98,3.7901761620126075,61.3267153542868,4.633329785224926
99,3.0967550206078056,65.8787197614465,4.820407329602756
100,4.147039820351967,59.08127929466336,4.543739060646564
